resembles a soft porn brian de palma pastiche,safe conduct however ambitious and well-intentioned fails to hit the entertainment bull's-eye,0
if only merchant paid more attention the story,about one in three gags in white's intermittently wise script hits its mark ; the rest are padding unashamedly appropriated from the teen-exploitation playbook,0
it's clear why deuces wild which was shot two years ago has been gathering dust on mgm's shelf,this is a fragmented film once a good idea that was followed by the bad idea to turn it into a movie,0
can't seem to get anywhere near the story's center,serving sara should be served an eviction notice at every theater stuck with it,0
it's a mindless action flick with a twist -- far better suited to video-viewing than the multiplex,not a movie but a live-action agitprop cartoon so shameless and coarse it's almost funny,0
my reaction in a word : disappointment his last movie was poetically romantic and full of indelible images but his latest has nothing going for it,my reaction in a word : disappointment his last movie was poetically romantic and full of indelible images but his latest has nothing going for it,1
what more can be expected from a college comedy that's target audience hasn't graduated from junior high school ?,not everything in the film works including its somewhat convenient ending,0
stinks from start to finish like a wet burlap sack of gloom,stinks from start to finish like a wet burlap sack of gloom,1
draggin' about dragons,draggin' about dragons,1
for casual moviegoers who stumble into rules expecting a slice of american pie hijinks starring the kid from dawson's creek they'll probably run out screaming,for casual moviegoers who stumble into rules expecting a slice of american pie hijinks starring the kid from dawson's creek they'll probably run out screaming,1
the character of zigzag is not sufficiently developed to support a film constructed around him,it won't be long before you'll spy i spy at a video store near you,0
you'll have more fun setting fire to yourself in the parking lot you'll be more entertained getting hit by a bus,you'll have more fun setting fire to yourself in the parking lot you'll be more entertained getting hit by a bus,1
if you've got a house full of tots -- don't worry this will be on video long before they grow up and you can wait till then,yet another entry in the sentimental oh-those-wacky-brits genre that was ushered in by the full monty and is still straining to produce another smash hit,0
